lemma,display_word,variant,oxford_pos,meaning_ko,example_en,example_ko,card_type,sense_hint,split_from,needs_review
headquarters,headquarters,,n.,본부 / 본사,The company's headquarters is in Seoul.,그 회사의 본사는 서울에 있어요.,normal,,,FALSE
heal,heal,,v.,치유하다 / 낫다,The cut on her hand healed quickly.,손에 난 상처가 빨리 나았어요.,normal,,,FALSE
heir,heir,,n.,상속인 / 후계자,The boy is the heir to the family home.,그 소년은 가족 집의 상속인이에요.,normal,,,FALSE
heritage,heritage,,n.,유산 / 전통,We should protect our cultural heritage.,우리는 문화유산을 보호해야 해요.,normal,,,FALSE
hierarchy,hierarchy,,n.,계층 구조 / 위계질서,There is a clear hierarchy in the office.,사무실에는 명확한 위계질서가 있어요.,normal,,,FALSE
horizon,horizon,,n.,지평선 / 수평선,The sun sets below the horizon.,태양이 지평선 아래로 집니다.,normal,,,FALSE
hostile,hostile,,adj.,적대적인 / 냉랭한,He gave me a hostile look.,그는 나에게 적대적인 눈빛을 보냈습니다.,normal,,,FALSE
hut,hut,,n.,오두막 / 작은 집,They slept in a small hut.,그들은 작은 오두막에서 잠을 잤습니다.,normal,,,FALSE
identical,identical,,adj.,똑같은 / 동일한,The twins wore identical dresses.,쌍둥이가 똑같은 드레스를 입었습니다.,normal,,,FALSE
ideology,ideology,,n.,이념 / 사상,They share the same ideology.,그들은 같은 이념을 공유합니다.,normal,,,FALSE
illusion,illusion,,n.,착각 / 환상,The mirror created an illusion of space.,거울이 공간의 착각을 만들어냈습니다.,normal,,,FALSE
imitate,imitate,,v.,흉내 내다 / 모방하다,The boy imitated his father's walk.,그 소년은 아버지의 걸음걸이를 흉내 냈습니다.,normal,,,FALSE
immense,immense,,adj.,엄청난 / 거대한,She felt immense joy at the news.,그녀는 그 소식에 엄청난 기쁨을 느꼈습니다.,normal,,,FALSE
immigrate,immigrate,,v.,이민 오다,Her family immigrated to Canada.,그녀의 가족은 캐나다로 이민을 왔습니다.,normal,,,FALSE
immune,immune,,adj.,면역이 있는 / 영향을 받지 않는,She is immune to that disease.,그녀는 그 병에 면역이 있습니다.,normal,,,FALSE
imperial,imperial,,adj.,제국의 / 황제의,We visited the imperial palace.,우리는 황제의 궁전을 방문했습니다.,normal,,,FALSE
incline,incline,,n.|v.,경사면,The road has a steep incline.,그 도로는 경사가 가파릅니다.,polysemy_split,(경사면),incline,FALSE
incline,incline,,n.|v.,마음이 기울다 / ~하고 싶어지다,I incline to agree with her.,나는 그녀의 말에 동의하고 싶어집니다.,polysemy_split,(마음이 기울다),incline,FALSE
induce,induce,,v.,유도하다 / 유발하다,The doctor induced sleep with medicine.,의사가 약으로 수면을 유도했습니다.,normal,,,FALSE
inevitable,inevitable,,adj.,피할 수 없는 / 불가피한,Change is inevitable in life.,삶에서 변화는 피할 수 없습니다.,normal,,,FALSE
infect,infect,,v.,감염시키다,The cold infected the whole family.,감기가 온 가족을 감염시켰습니다.,normal,,,FALSE
infer,infer,,v.,추론하다 / 추측하다,She inferred that he was tired.,그녀는 그가 피곤하다고 추론했습니다.,normal,,,FALSE
inference,inference,,n.,추론 / 결론,His inference was correct.,그의 추론은 맞았습니다.,normal,,,FALSE
inflate,inflate,,v.,부풀리다 / 팽창시키다,He inflated the balloon for the party.,그는 파티를 위해 풍선을 부풀렸습니다.,normal,,,FALSE
inhabit,inhabit,,v.,살다 / 거주하다,Many birds inhabit this forest.,많은 새들이 이 숲에 살고 있습니다.,normal,,,FALSE
inherent,inherent,,adj.,타고난 / 본래 갖춘,She has an inherent talent for music.,그녀는 음악에 타고난 재능이 있습니다.,normal,,,FALSE
inhibit,inhibit,,v.,억제하다 / 방해하다,Fear inhibited her from speaking.,두려움이 그녀가 말하는 것을 억제했습니다.,normal,,,FALSE
inject,inject,,v.,주사하다 / 주입하다,The nurse injected medicine into his arm.,간호사가 그의 팔에 약을 주사했습니다.,normal,,,FALSE
inn,inn,,n.,여관 / 작은 호텔,We stayed at a small inn.,우리는 작은 여관에 묵었습니다.,normal,,,FALSE
innovate,innovate,,v.,혁신하다 / 새로운 것을 만들다,The company always tries to innovate.,그 회사는 항상 혁신하려고 노력합니다.,normal,,,FALSE
inquire,inquire,enquire,v.,묻다 / 문의하다,She inquired about the bus schedule.,그녀는 버스 시간표에 대해 문의했습니다.,normal,,,FALSE
insert,insert,,n.|v.,끼워 넣다 / 삽입하다,Please insert the card here.,여기에 카드를 끼워 넣으세요.,normal,,,FALSE
instinct,instinct,,n.,본능,Mothers have a strong protective instinct.,엄마들은 강한 보호 본능이 있습니다.,normal,,,FALSE
insult,insult,,n.|v.,모욕 / 무례한 말,That remark was a real insult.,그 말은 정말 모욕적이었습니다.,polysemy_split,"(모욕, 명사)",insult,FALSE
insult,insult,,n.|v.,모욕하다 / 무례하게 대하다,He insulted her in front of everyone.,그는 모든 사람 앞에서 그녀를 모욕했습니다.,polysemy_split,"(모욕하다, 동사)",insult,FALSE
intellect,intellect,,n.,지성 / 지적 능력,She is a person of great intellect.,그녀는 대단한 지성을 가진 사람입니다.,normal,,,FALSE
interact,interact,,v.,교류하다 / 상호작용하다,The children interact well with each other.,아이들이 서로 잘 교류합니다.,normal,,,FALSE
interfere,interfere,,v.,간섭하다 / 방해하다,Please do not interfere in my work.,내 일에 간섭하지 마세요.,normal,,,FALSE
intermediate,intermediate,,adj.|n.,중간의 / 중급의,She is in the intermediate English class.,그녀는 중급 영어 수업을 듣고 있습니다.,normal,,,FALSE
interval,interval,,n.,간격 / 사이,There is a short interval between classes.,수업 사이에 짧은 간격이 있습니다.,normal,,,FALSE
intervene,intervene,,v.,개입하다 / 끼어들다,The teacher intervened in the argument.,선생님이 말다툼에 개입했습니다.,normal,,,FALSE
intimate,intimate,,adj.|n.|v.,친밀한 / 가까운,She talked with her intimate friend.,그녀는 친밀한 친구와 이야기했습니다.,normal,,,TRUE
intrigue,intrigue,,n.|v.,흥미를 끌다,The old story intrigued me.,그 오래된 이야기가 내 흥미를 끌었습니다.,polysemy_split,"(흥미를 끌다, 동사)",intrigue,FALSE
intrigue,intrigue,,n.|v.,음모 / 모략,The palace was full of intrigue.,궁궐은 음모로 가득했습니다.,polysemy_split,"(음모, 명사)",intrigue,FALSE
invade,invade,,v.,침략하다 / 침범하다,The army invaded the small town.,군대가 작은 마을을 침략했습니다.,normal,,,FALSE
inventor,inventor,,n.,발명가,He is the inventor of that machine.,그는 그 기계의 발명가입니다.,normal,,,FALSE
irony,irony,,n.,아이러니 / 반어,The irony is that she arrived late.,아이러니하게도 그녀는 늦게 도착했습니다.,normal,,,FALSE
irritate,irritate,,v.,짜증나게 하다 / 자극하다,The noise irritated me all day.,그 소음이 하루 종일 나를 짜증나게 했습니다.,normal,,,FALSE
jar,jar,,n.|v.,유리병,She put jam in a glass jar.,그녀는 유리병에 잼을 담았습니다.,polysemy_split,"(유리병, 명사)",jar,FALSE
jar,jar,,n.|v.,삐걱거리다 / 충격을 주다,The loud sound jarred my nerves.,큰 소리가 내 신경을 자극했습니다.,polysemy_split,"(충격을 주다, 동사)",jar,FALSE
jog,jog,,n.|v.,조깅하다 / 천천히 달리다,She jogs in the park every morning.,그녀는 매일 아침 공원에서 조깅합니다.,normal,,,FALSE
kit,kit,,n.|v.,용품 세트 / 도구 모음,He has a first aid kit at home.,그는 집에 응급 처치 키트가 있습니다.,normal,,,FALSE
knight,knight,,n.|v.,기사 / 기사 작위를 주다,The king knighted the brave soldier.,왕은 용감한 병사에게 기사 작위를 내렸습니다.,normal,,,FALSE
knot,knot,,n.|v.,매듭,She tied a knot in the rope.,그녀는 밧줄에 매듭을 지었습니다.,normal,,,FALSE
ladder,ladder,,n.,사다리,He climbed the ladder to fix the roof.,그는 지붕을 고치러 사다리를 올랐습니다.,normal,,,FALSE
lap,lap,,n.|v.,무릎 (앉았을 때),The cat sat on her lap.,고양이가 그녀의 무릎 위에 앉았습니다.,polysemy_split,"(무릎, 명사)",lap,FALSE
lap,lap,,n.|v.,핥다,The dog lapped up the water.,개가 물을 핥아 마셨습니다.,polysemy_split,"(핥다, 동사)",lap,FALSE
laundry,laundry,,n.,빨래 / 세탁물,She does laundry every Saturday.,그녀는 매주 토요일에 빨래를 합니다.,normal,,,FALSE
leak,leak,,n.|v.,새다 / 누출되다,The roof leaks when it rains.,비가 오면 지붕이 셉니다.,normal,,,FALSE
lease,lease,,n.|v.,임대 계약 / 임대하다,She signed a lease for the apartment.,그녀는 아파트 임대 계약서에 서명했습니다.,normal,,,FALSE
legend,legend,,n.,전설 / 전설적인 인물,He told us an old legend about the mountain.,그는 우리에게 그 산에 관한 오래된 전설을 들려주었습니다.,normal,,,FALSE
legislate,legislate,,v.,법을 제정하다,The government legislated new safety rules.,정부가 새로운 안전 규칙을 법으로 제정했습니다.,normal,,,FALSE
legitimate,legitimate,,adj.|v.,합법적인 / 정당한,That is a legitimate request.,그것은 정당한 요청입니다.,normal,,,FALSE
liberty,liberty,,n.,자유 / 자유권,Everyone has the right to liberty.,모든 사람은 자유를 누릴 권리가 있습니다.,normal,,,FALSE
likewise,likewise,,adv.,마찬가지로 / 똑같이,"She smiled, and he did likewise.",그녀가 미소 짓자 그도 마찬가지로 미소 지었습니다.,function_word,,,FALSE
linguistic,linguistic,,adj.,언어의 / 언어학의,She has great linguistic skills.,그녀는 뛰어난 언어 능력을 가지고 있습니다.,normal,,,FALSE
literal,literal,,adj.,글자 그대로의 / 직역의,Give me the literal meaning of this word.,이 단어의 글자 그대로의 뜻을 알려주세요.,normal,,,FALSE
lone,lone,,adj.,혼자인 / 외로운,A lone bird sat on the branch.,혼자인 새 한 마리가 나뭇가지에 앉았습니다.,normal,,,FALSE
loyal,loyal,,adj.,충실한 / 충성스러운,My dog is very loyal to me.,내 개는 나에게 매우 충실합니다.,normal,,,FALSE
lump,lump,,n.|v.,덩어리,She found a small lump in the dough.,그녀는 반죽에서 작은 덩어리를 발견했습니다.,polysemy_split,"(덩어리, 명사)",lump,FALSE
lump,lump,,n.|v.,한데 묶다 / 한꺼번에 처리하다,He lumped all the costs together.,그는 모든 비용을 한데 묶었습니다.,polysemy_split,"(한데 묶다, 동사)",lump,FALSE
magnet,magnet,,n.,자석,The magnet picked up the pin.,자석이 핀을 집어 올렸다.,normal,,,FALSE
magnificent,magnificent,,adj.,훌륭한 / 멋진,The view from the hill is magnificent.,언덕에서 보이는 경치가 훌륭하다.,normal,,,FALSE
manifest,manifest,,adj.|v.,분명한 / 나타내다,She manifested her feelings with a smile.,그녀는 미소로 자신의 감정을 나타냈다.,polysemy_split,(분명한),manifest,FALSE
manifest,manifest,,adj.|v.,나타내다 / 드러내다,His joy manifested in his laughter.,그의 기쁨이 웃음으로 드러났다.,polysemy_split,(나타내다),manifest,FALSE
manipulate,manipulate,,v.,조종하다 / 다루다,He manipulated the toy with his hands.,그는 손으로 장난감을 다루었다.,normal,,,FALSE
marine,marine,,adj.|n.,바다의 / 해병대원,She loves marine animals like fish.,그녀는 물고기 같은 바다 동물을 좋아한다.,polysemy_split,(바다의),marine,FALSE
marine,marine,,adj.|n.,해병대원,My brother is a marine.,내 남동생은 해병대원이다.,polysemy_split,(해병대원),marine,FALSE
mechanic,mechanic,,n.,정비사 / 수리공,The mechanic fixed our car quickly.,정비사가 우리 차를 빨리 고쳤다.,normal,,,FALSE
mediate,mediate,,v.,중재하다,She helped mediate the fight between them.,그녀는 그들 사이의 싸움을 중재하는 것을 도왔다.,normal,,,FALSE
medieval,medieval,,adj.,중세의,We saw a medieval castle in Europe.,우리는 유럽에서 중세 성을 보았다.,normal,,,FALSE
merchant,merchant,,adj.|n.,상인 / 무역상,The merchant sold cloth at the market.,상인은 시장에서 천을 팔았다.,normal,,,FALSE
merge,merge,,v.,합치다 / 합병하다,The two roads merge near the school.,두 도로는 학교 근처에서 합쳐진다.,normal,,,FALSE
merit,merit,,n.|v.,장점 / 가치가 있다,Her hard work has great merit.,그녀의 노력은 큰 가치가 있다.,normal,,,FALSE
metropolitan,metropolitan,,adj.,대도시의,She lives in a metropolitan area.,그녀는 대도시 지역에 살고 있다.,normal,,,FALSE
microphone,microphone,,n.,마이크,She spoke into the microphone clearly.,그녀는 마이크에 대고 명확하게 말했다.,normal,,,FALSE
migrant,migrant,,n.,이주자 / 이민자,The migrant found work in the city.,이주자는 도시에서 일자리를 찾았다.,normal,,,FALSE
migrate,migrate,,v.,이주하다 / 이동하다,Birds migrate south in winter.,새들은 겨울에 남쪽으로 이동한다.,normal,,,FALSE
miner,miner,,n.,광부,The miner worked deep underground.,광부는 땅속 깊이서 일했다.,normal,,,FALSE
minimal,minimal,,adj.,최소한의 / 아주 적은,She uses minimal salt in her cooking.,그녀는 요리에 소금을 아주 적게 사용한다.,normal,,,FALSE
ministry,ministry,,n.,부처 / 성직,He works at the Ministry of Education.,그는 교육부에서 일한다.,normal,,,FALSE
miracle,miracle,,n.,기적,The baby's recovery was a miracle.,아기의 회복은 기적이었다.,normal,,,FALSE
missile,missile,,n.,미사일,The soldier launched a missile.,군인이 미사일을 발사했다.,normal,,,FALSE
mock,mock,,adj.|n.|v.,흉내 내다 / 가짜의,The boys mocked him in the playground.,남자아이들이 운동장에서 그를 흉내 내며 놀렸다.,polysemy_split,(놀리다),mock,FALSE
mock,mock,,adj.|n.|v.,모의의 / 가짜의,We did a mock test before the exam.,우리는 시험 전에 모의시험을 봤다.,polysemy_split,(모의의),mock,FALSE
modest,modest,,adj.,겸손한 / 수수한,She is modest about her success.,그녀는 자신의 성공에 대해 겸손하다.,normal,,,FALSE
moist,moist,,adj.,촉촉한 / 습기 있는,The cake is soft and moist.,케이크가 부드럽고 촉촉하다.,normal,,,FALSE
moisture,moisture,,n.,수분 / 습기,The plant needs moisture to grow.,식물은 자라기 위해 수분이 필요하다.,normal,,,FALSE
molecule,molecule,,n.,분자,Water is made of tiny molecules.,물은 작은 분자로 이루어져 있다.,normal,,,FALSE
mommy,mommy,,n.,엄마,The girl called out for her mommy.,여자아이가 엄마를 불렀다.,normal,,,FALSE
monster,monster,,n.,괴물,The boy dreamed of a big monster.,남자아이는 커다란 괴물 꿈을 꿨다.,normal,,,FALSE
monument,monument,,n.,기념비 / 기념물,We visited a war monument in the park.,우리는 공원에 있는 전쟁 기념비를 방문했다.,normal,,,FALSE
mortal,mortal,,adj.|n.,죽을 수밖에 없는 / 치명적인,All people are mortal.,모든 사람은 죽을 수밖에 없다.,normal,,,FALSE
motive,motive,,n.,동기 / 이유,His motive for studying hard is clear.,그가 열심히 공부하는 동기는 분명하다.,normal,,,FALSE
myth,myth,,n.,신화 / 근거 없는 믿음,She read a Greek myth to her children.,그녀는 아이들에게 그리스 신화를 읽어 주었다.,normal,,,FALSE
naive,naive,,adj.,순진한,She was naive and trusted everyone.,그녀는 순진해서 모든 사람을 믿었다.,normal,,,FALSE
naked,naked,,adj.,벌거벗은 / 맨눈의,The baby was naked after the bath.,아기는 목욕 후 벌거벗은 상태였다.,normal,,,FALSE
narrate,narrate,,v.,이야기하다 / 해설하다,He narrated the story to the class.,그는 반 아이들에게 이야기를 들려주었다.,normal,,,FALSE
nasty,nasty,,adj.,불쾌한 / 나쁜,The medicine had a nasty taste.,그 약은 불쾌한 맛이 났다.,normal,,,FALSE
negate,negate,,v.,부정하다 / 무효로 하다,His bad behavior negated all his effort.,그의 나쁜 행동이 모든 노력을 무효로 만들었다.,normal,,,FALSE
nephew,nephew,,n.,조카 (남자),My nephew is six years old.,내 조카는 여섯 살이다.,normal,,,FALSE
neutral,neutral,,adj.|n.,중립적인 / 중립,She stayed neutral during their argument.,그녀는 그들의 말다툼 동안 중립을 지켰다.,normal,,,FALSE
noble,noble,,adj.|n.,고귀한 / 귀족,He has a noble heart.,그는 고귀한 마음을 가지고 있다.,normal,,,FALSE
nod,nod,,n.|v.,끄덕이다 / 고개 끄덕임,She nodded her head to say yes.,그녀는 고개를 끄덕여 동의를 표했다.,normal,,,FALSE
nominate,nominate,,v.,추천하다 / 지명하다,They nominated her for the award.,그들은 그녀를 상에 추천했다.,normal,,,FALSE
nonetheless,nonetheless,,adv.,그럼에도 불구하고,"It was cold; nonetheless, she went out.","추웠지만, 그럼에도 불구하고 그녀는 나갔다.",function_word,,,FALSE
norm,norm,,n.,규범 / 기준,Being kind is the norm in our family.,친절함이 우리 가족의 규범이다.,normal,,,FALSE
oblige,oblige,,v.,의무를 지우다 / 돕다,He was obliged to clean his room.,그는 자기 방을 청소해야 할 의무가 있었다.,normal,,,FALSE
obsess,obsess,,v.,집착하다 / 사로잡히다,She is obsessed with keeping the house clean.,그녀는 집을 깨끗이 유지하는 것에 집착한다.,normal,,,FALSE
occupation,occupation,,n.,직업 / 점령,Her occupation is nursing.,그녀의 직업은 간호사이다.,normal,,,FALSE
occurrence,occurrence,,n.,발생 / 일어나는 일,Rain is a common occurrence here.,비는 이곳에서 흔히 발생하는 일이다.,normal,,,FALSE
opportune,opportune,,adj.,적절한 / 때맞춘,She called at an opportune moment.,그녀는 적절한 순간에 전화를 했다.,normal,,,FALSE
opt,opt,,v.,선택하다,She opted for the smaller bag.,그녀는 더 작은 가방을 선택했다.,normal,,,FALSE
optimist,optimist,,n.,낙관주의자,My mom is always an optimist.,우리 엄마는 항상 낙관주의자다.,normal,,,FALSE
oral,oral,,adj.|n.,구두의 / 입으로 하는,She passed her oral exam.,그녀는 구두 시험을 통과했다.,normal,,,FALSE
orbit,orbit,,n.|v.,궤도 / 궤도를 돌다,The moon orbits the Earth.,달은 지구 궤도를 돈다.,normal,,,FALSE
orchestra,orchestra,,n.,오케스트라 / 관현악단,She plays violin in the orchestra.,그녀는 오케스트라에서 바이올린을 연주한다.,normal,,,FALSE
orient,orient,,n.|v.,동양 / 방향을 잡다,He tried to orient himself in the new city.,그는 새로운 도시에서 방향을 잡으려 했다.,polysemy_split,(방향을 잡다),orient,FALSE
orient,orient,,n.|v.,동양,She is interested in the Orient.,그녀는 동양에 관심이 있다.,polysemy_split,(동양),orient,FALSE
orientation,orientation,,n.,방향 / 오리엔테이션,We had an orientation on the first day.,우리는 첫날 오리엔테이션을 받았다.,normal,,,FALSE
outrage,outrage,,n.|v.,분노 / 분노하게 하다,The news filled her with outrage.,그 소식이 그녀를 분노로 가득 채웠다.,normal,,,FALSE
outstanding,outstanding,,adj.,뛰어난 / 미결인,She is an outstanding student.,그녀는 뛰어난 학생이다.,normal,,,FALSE
overhead,overhead,,adj.|adv.|n.,머리 위의 / 머리 위에,A bird flew overhead.,새 한 마리가 머리 위로 날아갔다.,normal,,,FALSE
overlap,overlap,,n.|v.,겹치다 / 겹침,Our work schedules overlap on Tuesday.,우리의 근무 일정이 화요일에 겹친다.,normal,,,FALSE
overlook,overlook,,v.,간과하다 / 내려다보다,She overlooked the mistake in the letter.,그녀는 편지의 실수를 간과했다.,normal,,,FALSE
overnight,overnight,,adj.|adv.|v.,하룻밤 사이에 / 밤새,She became famous overnight.,그녀는 하룻밤 사이에 유명해졌어요.,normal,,,FALSE
overwhelm,overwhelm,,v.,압도하다 / 벅차게 하다,The kind words overwhelmed her.,다정한 말들이 그녀를 벅차게 했어요.,normal,,,FALSE
pad,pad,,n.|v.,메모지 / 덧대다,She wrote on a small pad.,그녀는 작은 메모지에 글을 썼어요.,polysemy_split,(메모지),pad,FALSE
pad,pad,,n.|v.,덧대다 / 채워 넣다,He padded the bag with cloth.,그는 천으로 가방을 덧댔어요.,polysemy_split,(덧대다),pad,FALSE
palm,palm,,n.,손바닥 / 야자나무,She held the coin in her palm.,그녀는 손바닥에 동전을 쥐고 있었어요.,normal,,,FALSE
parliament,parliament,,n.,의회 / 국회,The new law passed in parliament.,새 법이 의회에서 통과되었어요.,normal,,,FALSE
particle,particle,,n.,입자 / 아주 작은 조각,Dust particles floated in the air.,먼지 입자들이 공기 중에 떠다녔어요.,normal,,,FALSE
pat,pat,,adj.|adv.|n.|v.,가볍게 두드리다 / 토닥이다,She patted the dog gently.,그녀는 개를 부드럽게 토닥였어요.,normal,,,TRUE
patch,patch,,n.|v.,헝겊 조각 / 때우다,He put a patch on his old jeans.,그는 낡은 청바지에 헝겊 조각을 붙였어요.,normal,,,FALSE
patent,patent,,adj.|n.|v.,특허 / 특허를 받다,She got a patent for her idea.,그녀는 자신의 아이디어로 특허를 받았어요.,normal,,,FALSE
pave,pave,,v.,포장하다 / 길을 닦다,Workers paved the road last week.,인부들이 지난주에 도로를 포장했어요.,normal,,,FALSE
peasant,peasant,,n.,농민 / 소작농,The peasant worked in the field all day.,농민은 하루 종일 밭에서 일했어요.,normal,,,FALSE
peel,peel,,n.|v.,껍질을 벗기다 / 껍질,She peeled the apple for her mom.,그녀는 엄마를 위해 사과 껍질을 벗겼어요.,normal,,,FALSE
persist,persist,,v.,계속하다 / 고집하다,He persisted and finished the work.,그는 포기하지 않고 일을 끝냈어요.,normal,,,FALSE
petrol,petrol,,n.,휘발유 / 가솔린,We need to buy petrol for the car.,차에 넣을 휘발유를 사야 해요.,normal,,,FALSE
pill,pill,,n.,알약,She took a pill with water.,그녀는 물과 함께 알약을 먹었어요.,normal,,,FALSE
pinch,pinch,,n.|v.,꼬집다 / 한 꼬집,Add a pinch of salt to the soup.,국에 소금 한 꼬집을 넣으세요.,normal,,,FALSE
pioneer,pioneer,,n.|v.,개척자 / 개척하다,She was a pioneer in women's education.,그녀는 여성 교육의 개척자였어요.,normal,,,FALSE
polar,polar,,adj.,극지방의 / 북극(남극)의,Polar bears live in cold areas.,북극곰은 추운 지역에 살아요.,normal,,,FALSE
polish,polish,,n.|v.,광택제 / 닦다,She polished her shoes before work.,그녀는 출근 전에 구두를 닦았어요.,normal,,,FALSE
pond,pond,,n.,연못,There are fish in the pond.,연못에 물고기가 있어요.,normal,,,FALSE
populate,populate,,v.,거주하다 / 사람이 살다,Many people populate this city.,많은 사람들이 이 도시에 살아요.,normal,,,FALSE
posit,posit,,v.,주장하다 / 가정하다,The teacher posited a simple idea.,선생님은 간단한 생각을 제시했어요.,normal,,,FALSE
preach,preach,,v.,설교하다 / 전도하다,The pastor preached every Sunday.,목사님은 매주 일요일에 설교했어요.,normal,,,FALSE
precede,precede,,v.,앞서다 / 먼저 오다,Spring precedes summer.,봄은 여름보다 먼저 와요.,normal,,,FALSE
predator,predator,,n.,포식자 / 천적,The lion is a predator.,사자는 포식자예요.,normal,,,FALSE
prejudice,prejudice,,n.|v.,편견 / 편견을 갖게 하다,We should not judge people with prejudice.,우리는 편견으로 사람을 판단하면 안 돼요.,normal,,,FALSE
premium,premium,,adj.|n.,고급의 / 할증료,She bought a premium coffee.,그녀는 고급 커피를 샀어요.,normal,,,FALSE
prescribe,prescribe,,v.,처방하다,The doctor prescribed some medicine.,의사가 약을 처방해 줬어요.,normal,,,FALSE
preside,preside,,v.,주재하다 / 사회를 보다,She presided over the meeting.,그녀가 회의를 주재했어요.,normal,,,FALSE
presume,presume,,v.,추정하다 / 여기다,I presume she is at home now.,나는 그녀가 지금 집에 있다고 생각해요.,normal,,,FALSE
prevail,prevail,,v.,이기다 / 우세하다,Good will always prevail over evil.,선은 항상 악을 이겨요.,normal,,,FALSE
prey,prey,,n.|v.,먹이 / 잡아먹다,The rabbit was the fox's prey.,토끼는 여우의 먹이였어요.,normal,,,FALSE
primitive,primitive,,adj.|n.,원시적인 / 초기의,They lived in a primitive village.,그들은 원시적인 마을에서 살았어요.,normal,,,FALSE
profound,profound,,adj.,깊은 / 심오한,She felt a profound love for her child.,그녀는 자녀에게 깊은 사랑을 느꼈어요.,normal,,,FALSE
programmatic,programmatic,,adj.,계획적인 / 프로그램에 따른,The school took a programmatic approach.,학교는 계획적인 방식을 택했어요.,normal,,,TRUE
prohibit,prohibit,,v.,금지하다,Smoking is prohibited here.,여기서는 흡연이 금지되어 있어요.,normal,,,FALSE
prominent,prominent,,adj.,유명한 / 눈에 띄는,She is a prominent doctor in town.,그녀는 마을에서 유명한 의사예요.,normal,,,FALSE
pronunciation,pronunciation,,n.,발음,Her English pronunciation is very good.,그녀의 영어 발음은 아주 좋아요.,normal,,,FALSE
prosper,prosper,,v.,번창하다 / 잘 되다,Their small shop prospered over time.,그들의 작은 가게는 시간이 지나면서 번창했어요.,normal,,,FALSE
provoke,provoke,,v.,화나게 하다 / 유발하다,His words provoked her anger.,그의 말이 그녀를 화나게 했어요.,normal,,,FALSE
questionnaire,questionnaire,,n.,설문지,Please fill out this questionnaire.,이 설문지를 작성해 주세요.,normal,,,FALSE
rage,rage,,n.|v.,분노 / 몹시 화내다,He felt a sudden rage inside him.,그는 갑자기 분노가 치밀어 올랐어요.,normal,,,FALSE
rally,rally,,n.|v.,집회 / 모이다,People gathered at the rally downtown.,사람들이 시내 집회에 모였어요.,normal,,,FALSE
rational,rational,,adj.,이성적인 / 합리적인,She made a rational decision.,그녀는 합리적인 결정을 내렸어요.,normal,,,FALSE
rebel,rebel,,n.|v.,반항하다 / 반항아,The boy rebelled against the school rules.,그 소년은 학교 규칙에 반항했어요.,normal,,,FALSE
refine,refine,,v.,정제하다 / 다듬다,She refined her cooking skills over time.,그녀는 시간이 지나면서 요리 실력을 다듬었어요.,normal,,,FALSE
refrigerate,refrigerate,,v.,냉장 보관하다,Please refrigerate the milk after opening.,개봉 후 우유는 냉장 보관하세요.,normal,,,FALSE
reinforce,reinforce,,v.,강화하다 / 보강하다,Kind words reinforce good behavior.,다정한 말은 좋은 행동을 강화해요.,normal,,,FALSE
relieve,relieve,,v.,완화하다 / 안심시키다,The medicine relieved her pain.,약이 그녀의 통증을 완화해 줬어요.,normal,,,FALSE
reluctant,reluctant,,adj.,내키지 않는 / 꺼리는,She was reluctant to go out in the rain.,그녀는 빗속에 나가기가 내키지 않았어요.,normal,,,FALSE
remedy,remedy,,n.|v.,치료법 / 해결책,Honey is a good remedy for a sore throat.,꿀은 목이 아플 때 좋은 치료법이에요.,normal,,,FALSE
republic,republic,,n.,공화국,Korea is a republic.,한국은 공화국이에요.,normal,,,FALSE
resemble,resemble,,v.,닮다 / 비슷하다,She resembles her mother a lot.,그녀는 엄마를 많이 닮았어요.,normal,,,FALSE
reside,reside,,v.,거주하다 / 살다,He resides in a small town.,그는 작은 마을에 살아요.,normal,,,FALSE
respective,respective,,adj.,각각의 / 저마다의,They went to their respective homes.,그들은 각자의 집으로 돌아갔어요.,normal,,,FALSE
restrain,restrain,,v.,억제하다 / 말리다,She restrained herself from eating too much.,그녀는 너무 많이 먹지 않으려고 참았어요.,normal,,,FALSE
resume,resume,,n.|v.,이력서 / 다시 시작하다,She sent her resume to the company.,그녀는 회사에 이력서를 보냈어요.,polysemy_split,(이력서),resume,FALSE
resume,resume,,n.|v.,다시 시작하다 / 재개하다,They resumed the game after the rain.,비가 온 후 그들은 경기를 다시 시작했어요.,polysemy_split,(재개하다),resume,FALSE
retreat,retreat,,n.|v.,물러나다 / 후퇴하다,The team retreated after losing the game.,팀은 경기에 진 후 물러났어요.,normal,,,FALSE
revenge,revenge,,n.|v.,복수 / 복수하다,He wanted revenge for what happened.,그는 있었던 일에 대해 복수하고 싶었어요.,normal,,,FALSE
revive,revive,,v.,되살리다 / 회복하다,The doctor revived the patient quickly.,의사가 환자를 빠르게 회복시켰어요.,normal,,,FALSE
ridicule,ridicule,,n.|v.,조롱 / 비웃다,The other kids ridiculed his old shoes.,다른 아이들이 그의 낡은 신발을 비웃었다.,normal,,,FALSE
ridiculous,ridiculous,,adj.,우스운 / 말도 안 되는,That idea sounds ridiculous to me.,그 생각은 나에게 말도 안 되게 들린다.,normal,,,FALSE
riot,riot,,n.|v.,폭동 / 폭동을 일으키다,People rioted in the streets that night.,그날 밤 사람들이 거리에서 폭동을 일으켰다.,normal,,,FALSE
